,AAPL_Close,VIX,GDP,FedRate,CPI,Unemployment
2024-03-07,168.20574951171875,14.4399995803833,28624.069,5.33,312.107,3.9
2024-03-08,169.92762756347656,14.739999771118164,28624.069,5.33,312.107,3.9
2024-03-11,171.93814086914062,15.220000267028809,28624.069,5.33,312.107,3.9
2024-03-12,172.41586303710938,13.84000015258789,28624.069,5.33,312.107,3.9
2024-03-13,170.3257598876953,13.75,28624.069,5.33,312.107,3.9
2024-03-14,172.1869659423828,14.399999618530273,28624.069,5.33,312.107,3.9
2024-03-15,171.80873107910156,14.40999984741211,28624.069,5.33,312.107,3.9
2024-03-18,172.90357971191406,14.329999923706055,28624.069,5.33,312.107,3.9
2024-03-19,175.2524871826172,13.819999694824219,28624.069,5.33,312.107,3.9
2024-03-20,177.83030700683594,13.039999961853027,28624.069,5.33,312.107,3.9
2024-03-21,170.56460571289062,12.920000076293945,28624.069,5.33,312.107,3.9
2024-03-22,171.47035217285156,13.0600004196167,28624.069,5.33,312.107,3.9
2024-03-25,170.0470733642578,13.1899995803833,28624.069,5.33,312.107,3.9
2024-03-26,168.9124298095703,13.239999771118164,28624.069,5.33,312.107,3.9
2024-03-27,172.49549865722656,12.779999732971191,28624.069,5.33,312.107,3.9
2024-03-28,170.67408752441406,13.010000228881836,28624.069,5.33,312.107,3.9
2024-04-01,169.23092651367188,13.649999618530273,29016.714,5.33,313.016,3.9
2024-04-02,168.0465087890625,14.609999656677246,29016.714,5.33,313.016,3.9
2024-04-03,168.85269165039062,14.329999923706055,29016.714,5.33,313.016,3.9
2024-04-04,168.026611328125,16.350000381469727,29016.714,5.33,313.016,3.9
2024-04-05,168.78305053710938,16.030000686645508,29016.714,5.33,313.016,3.9
2024-04-08,167.65835571289062,15.1899995803833,29016.714,5.33,313.016,3.9
2024-04-09,168.87261962890625,14.979999542236328,29016.714,5.33,313.016,3.9
2024-04-10,166.99148559570312,15.800000190734863,29016.714,5.33,313.016,3.9
2024-04-11,174.2173614501953,14.90999984741211,29016.714,5.33,313.016,3.9
2024-04-12,175.72027587890625,17.309999465942383,29016.714,5.33,313.016,3.9
2024-04-15,171.87841796875,19.229999542236328,29016.714,5.33,313.016,3.9
2024-04-16,168.583984375,18.399999618530273,29016.714,5.33,313.016,3.9
2024-04-17,167.21044921875,18.209999084472656,29016.714,5.33,313.016,3.9
2024-04-18,166.2549591064453,18.0,29016.714,5.33,313.016,3.9
2024-04-19,164.22454833984375,18.709999084472656,29016.714,5.33,313.016,3.9
